                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.63299,                 1.1507,                0.59913,                 1.0298,                0.60103,                0.44475,                0.46879,                0.33707,                0.60231,                0.44631,                0.47176,                0.29994,                0.99104,                 1.8903,                 1.3945,                 1.3684,                0.00901,                0.00901,                0.00901
                    102,                0.62848,                 1.1468,                0.60872,                 1.0238,                0.47145,                0.40287,                 0.4036,                0.28426,                0.47459,                 0.4056,                0.40857,                0.25517,                 1.0167,                 1.8913,                 1.4687,                  1.381,              0.0090001,              0.0090001,              0.0090001
                    103,                0.62679,                 1.1321,                0.59383,                 1.0182,                0.56868,                0.45606,                0.46172,                0.32473,                0.57125,                0.45664,                0.46539,                0.29525,                0.98628,                 1.8578,                 1.4019,                 1.3801,              0.0089902,              0.0089902,              0.0089902
                    104,                0.62794,                 1.1297,                0.58833,                 1.0266,                0.70281,                 0.4256,                0.45239,                0.32666,                0.71192,                0.42574,                0.45524,                 0.2972,                0.98016,                 1.8096,                 1.3773,                  1.375,              0.0089803,              0.0089803,              0.0089803
                    105,                0.62604,                 1.1245,                0.58657,                 1.0223,                0.44002,                0.44828,                0.44103,                0.31614,                0.44241,                0.45191,                0.44462,                0.28176,                0.95397,                 1.7756,                 1.4367,                 1.3487,              0.0089704,              0.0089704,              0.0089704
                    106,                0.61666,                 1.1008,                0.57325,                 1.0117,                0.46864,                0.52323,                0.46881,                0.32952,                 0.4687,                 0.5233,                0.47212,                0.29777,                0.96349,                 1.8547,                 1.3754,                 1.3518,              0.0089605,              0.0089605,              0.0089605
                    107,                0.61753,                 1.1064,                0.56663,                 1.0132,                0.51723,                0.43815,                0.43918,                0.31198,                0.51796,                0.43867,                0.44131,                0.28014,                0.98192,                 1.8183,                 1.4201,                 1.3701,              0.0089506,              0.0089506,              0.0089506
                    108,                 0.6145,                 1.1088,                0.57726,                 1.0222,                0.58609,                 0.4241,                 0.4599,                0.32505,                0.58881,                0.42688,                0.46295,                0.29625,                0.93502,                 1.7632,                 1.3979,                 1.3636,              0.0089407,              0.0089407,              0.0089407
                    109,                0.62167,                 1.1365,                0.58752,                 1.0244,                0.50808,                0.43665,                0.44863,                 0.3252,                0.50989,                0.43833,                0.45266,                0.29033,                 0.9378,                 1.7831,                 1.4633,                 1.3501,              0.0089308,              0.0089308,              0.0089308
                    110,                0.61014,                 1.0767,                 0.5672,                 1.0137,                0.56099,                0.43732,                0.45696,                0.31847,                0.55662,                0.44011,                0.45784,                0.29345,                0.97237,                 1.8432,                 1.3821,                 1.3641,              0.0089209,              0.0089209,              0.0089209
                    111,                0.60611,                 1.0865,                0.56143,                 1.0075,                0.54526,                0.40383,                0.44463,                0.31397,                0.54731,                  0.405,                0.44619,                 0.2873,                0.95711,                 1.8411,                 1.4321,                 1.3314,               0.008911,               0.008911,               0.008911
                    112,                0.61646,                 1.1339,                0.57439,                 1.0168,                0.42366,                0.49045,                0.43546,                0.31043,                0.42498,                0.49213,                0.43764,                0.28245,                0.98402,                 1.9308,                 1.4419,                 1.3939,              0.0089011,              0.0089011,              0.0089011
                    113,                0.60831,                 1.0905,                0.57528,                 1.0114,                0.48803,                0.42509,                0.45235,                0.31476,                0.48819,                0.42643,                0.45521,                0.28972,                  0.991,                 1.8289,                 1.3436,                 1.3889,              0.0088912,              0.0088912,              0.0088912
                    114,                0.59901,                 1.0732,                0.55545,                 1.0091,                0.59247,                0.45106,                0.47579,                0.33833,                 0.5946,                0.45269,                0.47811,                0.30598,                0.94808,                 1.7633,                 1.4176,                 1.3703,              0.0088813,              0.0088813,              0.0088813
                    115,                0.60529,                 1.0756,                0.54965,                 1.0102,                0.47447,                0.43136,                0.44187,                0.30902,                0.47634,                0.43318,                0.44368,                0.28306,                0.95896,                 1.7443,                 1.4306,                 1.3527,              0.0088714,              0.0088714,              0.0088714
                    116,                0.60084,                 1.0814,                0.55266,                 1.0061,                0.44546,                0.43035,                0.45579,                0.31556,                0.45356,                 0.4285,                0.45768,                0.29137,                 1.0012,                 1.8307,                 1.3747,                 1.3966,              0.0088615,              0.0088615,              0.0088615
                    117,                0.61331,                 1.1018,                0.55913,                 1.0066,                 0.4579,                0.51558,                0.47104,                0.33621,                0.45693,                0.51501,                0.47233,                0.30041,                0.96062,                 1.7569,                 1.3994,                 1.3577,              0.0088516,              0.0088516,              0.0088516
                    118,                0.60223,                 1.0789,                0.54145,                 1.0011,                0.49103,                0.49338,                0.46753,                0.32802,                0.49142,                0.49377,                0.46756,                0.30034,                0.96806,                 1.7465,                 1.4499,                 1.3621,              0.0088417,              0.0088417,              0.0088417
                    119,                0.60055,                 1.0843,                0.54773,                0.99951,                0.48489,                0.42994,                0.45374,                0.32132,                0.49051,                 0.4331,                0.45725,                 0.2914,                0.94304,                 1.7439,                 1.4074,                 1.3331,              0.0088318,              0.0088318,              0.0088318
                    120,                 0.5999,                 1.1029,                 0.5534,                 1.0033,                0.45587,                0.45895,                0.44384,                0.31349,                0.45598,                0.45858,                0.44426,                0.28301,                0.98022,                 1.7835,                 1.4604,                 1.3592,              0.0088219,              0.0088219,              0.0088219
                    121,                0.59932,                  1.072,                0.54391,                 1.0064,                0.45672,                0.42736,                0.42599,                0.30369,                0.45531,                0.42587,                 0.4258,                0.27251,                0.97703,                 1.8196,                 1.5897,                 1.3681,               0.008812,               0.008812,               0.008812
                    122,                 0.5932,                  1.062,                0.54051,                 1.0016,                0.65461,                0.44357,                0.47014,                0.33191,                0.66975,                0.43879,                0.47168,                0.30542,                0.95627,                 1.8194,                 1.4346,                 1.3665,              0.0088021,              0.0088021,              0.0088021
                    123,                0.60032,                  1.066,                0.53879,                 1.0089,                0.48231,                0.50445,                0.46655,                 0.3324,                 0.4832,                0.50602,                 0.4676,                 0.2997,                0.96812,                 1.7794,                 1.5247,                 1.3744,              0.0087922,              0.0087922,              0.0087922
                    124,                0.59087,                 1.0642,                0.53803,                 1.0089,                0.45811,                0.47558,                0.43443,                 0.3137,                0.45949,                 0.4772,                0.43622,                 0.2767,                0.99958,                 1.9319,                 1.5024,                 1.4036,              0.0087823,              0.0087823,              0.0087823
                    125,                0.59188,                 1.0509,                0.53362,                0.99872,                0.52505,                0.51899,                0.48936,                0.34469,                0.52744,                0.52096,                0.49069,                 0.3172,                0.96941,                  1.731,                 1.4064,                 1.3738,              0.0087724,              0.0087724,              0.0087724
                    126,                0.59026,                 1.0549,                0.52403,                 1.0028,                0.46021,                0.41883,                0.42562,                0.30763,                0.46691,                0.41546,                 0.4285,                0.28139,                0.97306,                 1.8116,                  1.461,                 1.3735,              0.0087625,              0.0087625,              0.0087625
                    127,                0.58943,                 1.0598,                0.52289,                0.99861,                0.47485,                0.44633,                0.45156,                 0.3197,                 0.4734,                 0.4444,                0.45224,                0.29374,                 0.9918,                 1.8719,                 1.5222,                 1.3791,              0.0087526,              0.0087526,              0.0087526
                    128,                0.59291,                 1.0728,                0.52665,                  1.001,                0.46859,                0.47913,                0.44187,                0.31751,                0.46941,                0.48173,                0.44357,                0.28699,                0.95616,                 1.7747,                 1.4755,                 1.3522,              0.0087427,              0.0087427,              0.0087427
                    129,                0.58683,                 1.0648,                0.52309,                0.99446,                0.55172,                0.41665,                0.44184,                0.31426,                0.55169,                0.41843,                0.44495,                0.29066,                0.96435,                 1.8245,                 1.4507,                  1.344,              0.0087328,              0.0087328,              0.0087328
                    130,                0.58304,                 1.0408,                0.51174,                0.98397,                0.64812,                0.41823,                0.45609,                0.32273,                0.65081,                0.42037,                0.45984,                 0.2948,                0.96949,                 1.8395,                 1.4444,                 1.3484,              0.0087229,              0.0087229,              0.0087229
                    131,                0.58142,                  1.038,                0.51419,                0.98886,                0.48227,                0.43692,                0.43111,                0.31177,                 0.4843,                0.43726,                 0.4296,                0.28196,                0.96913,                 1.8676,                  1.538,                  1.385,               0.008713,               0.008713,               0.008713
                    132,                0.57473,                  1.037,                0.51945,                0.99428,                0.44553,                0.45368,                0.42773,                0.31116,                0.44581,                0.45543,                 0.4296,                0.27948,                0.94549,                 1.8502,                 1.5407,                  1.346,              0.0087031,              0.0087031,              0.0087031
                    133,                0.57365,                 1.0537,                0.51488,                0.99325,                 0.5228,                0.44064,                0.44196,                0.32049,                0.51833,                0.43563,                0.44093,                0.28636,                 0.9761,                 1.8927,                 1.5575,                 1.3835,              0.0086932,              0.0086932,              0.0086932
                    134,                0.57902,                 1.0558,                0.50975,                0.99451,                0.42408,                0.47862,                 0.4154,                0.29413,                0.42656,                0.48095,                0.42022,                0.26726,                 1.0008,                 1.8965,                 1.5556,                 1.4056,              0.0086833,              0.0086833,              0.0086833
                    135,                0.57585,                 1.0521,                0.51845,                  1.001,                0.48903,                0.42079,                0.44672,                0.32746,                0.49041,                0.42215,                0.44853,                0.29265,                0.95085,                 1.8007,                  1.423,                 1.3747,              0.0086734,              0.0086734,              0.0086734
                    136,                0.57918,                 1.0501,                0.52256,                 0.9913,                0.54258,                0.46177,                0.47086,                0.33919,                0.54227,                0.46063,                0.47283,                 0.3065,                0.98249,                 1.8634,                 1.4343,                 1.3775,              0.0086635,              0.0086635,              0.0086635
                    137,                0.58038,                 1.0365,                  0.507,                0.98856,                0.49733,                0.43164,                0.43103,                0.30865,                0.49751,                0.43346,                0.43416,                0.28192,                 1.0183,                 1.8885,                 1.6143,                 1.4009,              0.0086536,              0.0086536,              0.0086536
                    138,                0.57613,                 1.0253,                 0.5015,                0.98058,                0.47999,                0.44357,                0.44599,                0.32405,                 0.4802,                0.44408,                0.44547,                0.28555,                0.97698,                 1.8514,                 1.5093,                 1.3705,              0.0086437,              0.0086437,              0.0086437
                    139,                0.56735,                 1.0159,                0.49684,                0.98709,                0.62213,                0.43498,                0.46099,                0.32873,                0.62111,                0.43511,                 0.4603,                0.29624,                 1.0032,                 1.8575,                 1.5199,                 1.4296,              0.0086338,              0.0086338,              0.0086338
                    140,                0.56818,                 1.0259,                0.50461,                0.98344,                0.58054,                0.40962,                0.45148,                0.32467,                0.57894,                0.40828,                0.45106,                0.29566,                0.97123,                 1.8521,                 1.6072,                 1.3779,              0.0086239,              0.0086239,              0.0086239
                    141,                0.57227,                 1.0219,                0.50274,                0.98518,                0.43187,                0.40012,                0.41331,                0.29935,                0.44634,                0.39766,                0.41714,                0.26605,                 1.0162,                 1.9784,                 1.5745,                 1.4288,               0.008614,               0.008614,               0.008614
                    142,                0.56946,                 1.0265,                0.50001,                0.98132,                0.77093,                0.38684,                0.44107,                0.31257,                0.76877,                0.39092,                0.44276,                0.28362,                0.98303,                 1.9197,                 1.4871,                 1.3995,              0.0086041,              0.0086041,              0.0086041
                    143,                0.56984,                 1.0189,                  0.494,                 0.9763,                0.43011,                0.42512,                0.42643,                 0.3099,                 0.4337,                0.42566,                0.42702,                0.27818,                0.97932,                 1.8369,                 1.6019,                 1.3784,              0.0085942,              0.0085942,              0.0085942
                    144,                0.55588,                 1.0077,                0.48595,                0.98297,                0.47496,                0.43536,                 0.4272,                0.31055,                  0.477,                0.43742,                 0.4301,                0.27869,                0.97619,                 1.8592,                 1.6414,                 1.3881,              0.0085843,              0.0085843,              0.0085843
                    145,                0.56088,                 1.0063,                0.48728,                0.97757,                0.43193,                0.44993,                0.42534,                0.30634,                0.43353,                0.45119,                0.42945,                0.27647,                0.97367,                 1.8382,                 1.4941,                 1.3947,              0.0085744,              0.0085744,              0.0085744
                    146,                0.56549,                 1.0296,                0.49155,                0.98176,                0.54053,                 0.4164,                0.43176,                0.31247,                0.54456,                0.42022,                0.43743,                0.28393,                0.97428,                 1.8113,                 1.5122,                 1.3941,              0.0085645,              0.0085645,              0.0085645
                    147,                0.56016,                 1.0036,                0.48702,                0.98505,                0.41729,                0.38069,                0.42088,                0.30035,                0.41798,                0.38135,                0.42149,                 0.2725,                 1.0169,                 1.9134,                 1.5594,                 1.4209,              0.0085546,              0.0085546,              0.0085546
                    148,                0.55367,                 1.0074,                0.48169,                0.97673,                0.50193,                0.42936,                0.43986,                0.32069,                0.50184,                0.42782,                0.44135,                0.28694,                0.97274,                 1.8747,                 1.6181,                 1.3583,              0.0085447,              0.0085447,              0.0085447
                    149,                0.56235,                0.99449,                 0.4825,                0.97146,                0.45368,                0.41351,                0.43167,                0.31519,                0.45443,                0.41397,                0.43308,                0.28328,                0.96312,                 1.9257,                 1.5839,                 1.3747,              0.0085348,              0.0085348,              0.0085348
                    150,                 0.5506,                0.98493,                0.47359,                0.96794,                 0.4713,                0.40561,                0.41495,                0.29197,                0.47033,                 0.4044,                0.41281,                0.26238,                 1.0377,                 2.0827,                 1.7188,                 1.4218,              0.0085249,              0.0085249,              0.0085249
                    151,                0.54533,                 1.0086,                0.48474,                0.96154,                0.41664,                0.45454,                0.43436,                0.31377,                0.41769,                0.45772,                0.43582,                0.28189,                0.98072,                 1.8705,                 1.5425,                 1.3632,               0.008515,               0.008515,               0.008515
                    152,                0.56625,                 1.0235,                0.48278,                0.97461,                0.60708,                0.40974,                0.43724,                0.30892,                0.60474,                  0.411,                0.43775,                0.27936,                0.98446,                 1.9169,                 1.5692,                   1.37,              0.0085051,              0.0085051,              0.0085051
                    153,                0.55049,                0.99227,                0.47102,                0.96995,                0.61965,                0.43161,                0.45617,                 0.3214,                0.61902,                0.43046,                 0.4559,                0.29845,                0.99446,                 1.8534,                 1.6289,                 1.3888,              0.0084952,              0.0084952,              0.0084952
                    154,                0.55118,                0.99466,                0.48188,                0.97782,                 0.5374,                0.43689,                0.41338,                0.28709,                  0.536,                0.43677,                0.41452,                0.26445,                 1.0159,                 1.9776,                 1.7909,                 1.4147,              0.0084853,              0.0084853,              0.0084853
                    155,                0.55308,                0.99983,                0.47382,                0.96966,                0.52022,                0.45119,                0.44726,                0.32019,                0.51126,                0.45056,                0.44693,                 0.2932,                0.98297,                  1.867,                 1.5396,                 1.3969,              0.0084754,              0.0084754,              0.0084754
                    156,                0.55267,                0.98377,                0.47469,                0.97584,                0.56047,                0.39472,                0.43536,                 0.3115,                0.55869,                 0.3975,                0.43624,                 0.2836,                0.96736,                 1.9794,                 1.6389,                 1.3951,              0.0084655,              0.0084655,              0.0084655
                    157,                0.54388,                0.98844,                0.47352,                0.96992,                0.57034,                0.39448,                0.43541,                0.31447,                0.56958,                0.39566,                0.43482,                0.28387,                0.96952,                 1.9264,                 1.5759,                 1.3959,              0.0084556,              0.0084556,              0.0084556
                    158,                0.54928,                 1.0015,                0.47169,                0.97273,                0.52285,                 0.4105,                0.41285,                0.29957,                0.52431,                0.40896,                0.41083,                0.26752,                0.97345,                 1.8562,                 1.5832,                 1.3799,              0.0084457,              0.0084457,              0.0084457
                    159,                0.54769,                0.97788,                0.47705,                0.96963,                0.61894,                0.42972,                0.47302,                0.33022,                  0.614,                0.43696,                0.47222,                0.30445,                0.95346,                 1.7711,                 1.4776,                 1.3384,              0.0084358,              0.0084358,              0.0084358
                    160,                0.54108,                0.99428,                0.46274,                0.96447,                0.55755,                0.48692,                0.46199,                0.32662,                0.55995,                0.48982,                0.46587,                0.30182,                0.96144,                 1.7867,                  1.576,                 1.3611,              0.0084259,              0.0084259,              0.0084259
                    161,                0.55807,                 1.0018,                0.47277,                0.97213,                 0.5112,                0.48339,                0.45386,                0.32104,                0.51119,                0.48212,                0.45224,                0.29422,                 1.0051,                 1.8915,                 1.6407,                 1.4127,               0.008416,               0.008416,               0.008416
                    162,                0.54774,                0.98397,                0.46307,                0.97016,                0.46924,                 0.3939,                0.42213,                0.30593,                0.46678,                0.39506,                0.42424,                0.27698,                0.98291,                 1.8312,                 1.7846,                 1.3826,              0.0084061,              0.0084061,              0.0084061
                    163,                0.54223,                0.98142,                 0.4521,                0.96985,                0.45071,                0.43684,                0.42125,                0.30185,                0.45486,                0.44117,                0.42483,                0.27265,                0.97598,                 1.8574,                 1.5811,                 1.3966,              0.0083962,              0.0083962,              0.0083962
                    164,                0.53689,                0.98529,                0.46376,                0.96861,                0.40437,                0.43772,                0.42468,                0.30715,                0.40827,                0.43806,                0.42578,                0.27676,                0.96221,                 1.8586,                 1.5601,                 1.3736,              0.0083863,              0.0083863,              0.0083863
                    165,                0.55086,                0.99886,                0.47588,                0.96914,                0.42148,                0.38931,                0.41875,                0.30623,                0.42335,                0.39106,                0.42046,                0.27781,                0.97278,                 1.8472,                 1.5849,                  1.377,              0.0083764,              0.0083764,              0.0083764
                    166,                0.55025,                0.96817,                0.46303,                0.96559,                0.41856,                0.43568,                0.41894,                0.30306,                0.40926,                0.44147,                0.42035,                0.27103,                0.98514,                 1.9659,                 1.7211,                 1.3864,              0.0083665,              0.0083665,              0.0083665
                    167,                0.54514,                0.95918,                0.45157,                0.96479,                0.41379,                0.39063,                0.41386,                0.29888,                0.42316,                0.38497,                0.41492,                0.27086,                0.97044,                 1.8819,                 1.6883,                 1.3789,              0.0083566,              0.0083566,              0.0083566
                    168,                  0.547,                0.96967,                0.45321,                0.96933,                0.54476,                0.42242,                0.44234,                0.32428,                0.54505,                0.42217,                0.44205,                0.29147,                0.97802,                  1.856,                 1.6584,                 1.3935,              0.0083467,              0.0083467,              0.0083467
                    169,                0.52918,                0.96104,                0.45686,                 0.9581,                 0.6163,                0.41067,                0.44025,                0.32043,                0.62248,                0.41475,                0.44354,                0.29083,                0.97251,                 1.8647,                 1.6381,                 1.3978,              0.0083368,              0.0083368,              0.0083368
                    170,                0.53227,                0.95881,                0.44439,                0.96156,                 0.5892,                0.38735,                0.44896,                0.32102,                0.59094,                0.38879,                0.45176,                0.29202,                0.96793,                 1.9181,                 1.5362,                 1.3969,              0.0083269,              0.0083269,              0.0083269
                    171,                0.53441,                0.94419,                0.44926,                 0.9534,                0.48905,                0.43082,                0.44311,                0.31745,                0.48873,                0.43026,                0.44462,                0.29015,                0.99183,                 1.8972,                 1.6061,                 1.4046,               0.008317,               0.008317,               0.008317
                    172,                0.53489,                0.95331,                0.44909,                0.96695,                0.49436,                0.42405,                0.43029,                0.31841,                0.49429,                 0.4236,                0.43351,                0.28229,                 1.0036,                 1.8375,                 1.6249,                 1.4113,              0.0083071,              0.0083071,              0.0083071
                    173,                0.53081,                0.96125,                0.44728,                0.95703,                0.41542,                0.43935,                0.42873,                0.31295,                0.41673,                0.43948,                0.43422,                0.28059,                0.96778,                 1.8994,                 1.6493,                  1.388,              0.0082972,              0.0082972,              0.0082972
                    174,                0.52763,                0.95868,                0.45001,                0.95944,                0.42443,                0.43666,                0.42294,                0.30449,                 0.4706,                0.40711,                0.42396,                0.27706,                0.99609,                 1.9693,                 1.6785,                 1.4184,              0.0082873,              0.0082873,              0.0082873
                    175,                0.52218,                0.93024,                0.43621,                0.96035,                0.49264,                0.41381,                0.44329,                0.32386,                0.49573,                0.41678,                0.44993,                0.29306,                0.96641,                 1.9041,                 1.5354,                 1.3935,              0.0082774,              0.0082774,              0.0082774
                    176,                0.53039,                0.95889,                0.44415,                0.95584,                0.43474,                0.42295,                0.42219,                0.31177,                0.43208,                0.42544,                0.42656,                0.28036,                 0.9949,                 1.8944,                  1.682,                 1.4223,              0.0082675,              0.0082675,              0.0082675
                    177,                 0.5232,                0.93588,                0.44172,                0.95478,                0.46406,                0.45469,                0.43549,                 0.3118,                0.46345,                0.45398,                0.43684,                0.28063,                 1.0054,                 1.9015,                 1.6617,                 1.4242,              0.0082576,              0.0082576,              0.0082576
                    178,                 0.5222,                0.92449,                0.43739,                0.94996,                0.45194,                0.47291,                0.46222,                0.33541,                0.45422,                0.47563,                0.46377,                0.30097,                0.95155,                  1.863,                 1.5151,                 1.3615,              0.0082477,              0.0082477,              0.0082477
                    179,                0.53586,                0.96937,                0.45248,                 0.9572,                0.44378,                0.46724,                0.44325,                0.31529,                0.44701,                 0.4688,                0.44546,                 0.2893,                0.97073,                 1.8394,                  1.616,                 1.3748,              0.0082378,              0.0082378,              0.0082378
                    180,                0.52817,                0.92962,                0.44782,                0.95055,                0.47808,                0.43949,                 0.4333,                0.31697,                0.47807,                0.43945,                0.43368,                0.28645,                0.96634,                  1.921,                 1.5798,                 1.3934,              0.0082279,              0.0082279,              0.0082279
                    181,                0.51543,                0.92552,                0.43508,                0.94687,                0.55734,                0.39138,                0.43573,                0.31497,                0.56548,                0.39167,                0.43922,                0.29114,                0.97875,                 1.8646,                 1.6952,                  1.387,               0.008218,               0.008218,               0.008218
                    182,                0.52329,                0.91997,                0.43457,                0.95314,                0.51606,                0.43114,                0.45653,                0.32982,                0.51346,                0.42825,                0.45587,                 0.3048,                  0.976,                 1.8513,                 1.7645,                  1.388,              0.0082081,              0.0082081,              0.0082081
                    183,                0.52419,                0.94095,                0.43397,                0.94925,                0.50503,                0.46062,                0.45588,                0.32906,                0.50808,                0.46081,                0.45826,                0.30762,                0.97773,                 1.8575,                 1.6317,                 1.3965,              0.0081982,              0.0081982,              0.0081982
                    184,                0.52476,                0.93637,                0.42888,                 0.9484,                0.44073,                0.42281,                0.42374,                 0.3007,                0.43746,                0.41909,                0.42156,                0.27137,                0.98799,                  1.876,                 1.7201,                 1.3919,              0.0081883,              0.0081883,              0.0081883
                    185,                0.52434,                 0.9321,                0.43008,                0.95469,                0.50365,                0.45938,                0.44645,                0.32228,                 0.5064,                0.46223,                0.44887,                0.29535,                0.98461,                 1.8726,                  1.632,                 1.3952,              0.0081784,              0.0081784,              0.0081784
                    186,                0.52137,                0.93593,                0.44173,                 0.9568,                0.50306,                0.44875,                0.43014,                0.31107,                 0.5024,                0.44954,                0.43203,                0.28459,                0.98223,                 1.9075,                 1.7087,                  1.392,              0.0081685,              0.0081685,              0.0081685
                    187,                0.51823,                0.93602,                0.42749,                 0.9538,                0.52088,                0.39267,                0.42753,                 0.3117,                0.52808,                 0.3906,                0.42776,                0.28084,                0.99976,                 1.9109,                 1.6893,                 1.4333,              0.0081586,              0.0081586,              0.0081586
                    188,                0.51908,                0.93644,                0.43672,                0.95272,                0.45809,                0.42067,                0.42667,                0.30091,                0.45013,                0.41471,                 0.4206,                0.27265,                0.99483,                 1.9631,                  1.787,                 1.4204,              0.0081487,              0.0081487,              0.0081487
                    189,                0.51392,                0.92639,                0.43354,                0.95347,                0.48911,                0.46663,                0.43312,                0.30788,                0.48807,                  0.464,                0.43182,                0.27947,                0.99524,                 1.9536,                 1.7423,                 1.4148,              0.0081388,              0.0081388,              0.0081388
                    190,                0.51452,                0.91959,                 0.4286,                0.94931,                 0.4736,                0.44055,                0.43005,                0.30445,                 0.4879,                0.43428,                0.42788,                0.27454,                0.99186,                 1.9888,                 1.6665,                 1.4097,              0.0081289,              0.0081289,              0.0081289
                    191,                0.51369,                0.91663,                0.41983,                0.94566,                0.58203,                0.44052,                 0.4452,                0.32215,                0.58206,                0.44047,                0.44775,                0.29571,                0.97477,                 1.9226,                 1.7399,                  1.385,               0.008119,               0.008119,               0.008119
                    192,                 0.5207,                0.91305,                0.42885,                0.94392,                0.47749,                0.44114,                0.45624,                0.32985,                0.48024,                0.44386,                0.45674,                0.30026,                 0.9687,                 1.9228,                 1.7376,                 1.3768,              0.0081091,              0.0081091,              0.0081091
                    193,                0.50759,                 0.9213,                0.42338,                0.94399,                0.41055,                 0.4051,                 0.4359,                0.31829,                0.40738,                0.41521,                0.43927,                0.28685,                 0.9608,                 1.9151,                  1.601,                 1.3705,              0.0080992,              0.0080992,              0.0080992
