                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.91819,                  1.719,                 1.1266,                 1.2335,                0.42942,                0.43313,                0.43948,                0.29874,                0.43077,                0.43339,                0.43929,                0.26476,                  1.011,                  1.839,                 1.3118,                 1.3339,              0.0097723,              0.0097723,              0.0097723
                     25,                 0.9236,                 1.7078,                 1.0998,                 1.2292,                0.41073,                0.41615,                0.38919,                0.26255,                0.41521,                 0.4206,                0.39368,                0.22989,                 1.0728,                 1.9587,                 1.4952,                 1.3903,              0.0097624,              0.0097624,              0.0097624
                     26,                0.90281,                 1.6717,                 1.0705,                  1.212,                0.46082,                0.41433,                0.42458,                0.29203,                0.46379,                0.41624,                0.42703,                0.25995,                0.97053,                 1.7872,                 1.3509,                 1.3068,              0.0097525,              0.0097525,              0.0097525
                     27,                0.88781,                 1.6404,                 1.0664,                 1.2089,                0.42182,                0.40746,                0.40728,                0.27704,                0.41889,                0.40451,                0.40494,                 0.2418,                 1.0211,                 1.8611,                 1.4071,                 1.3411,              0.0097426,              0.0097426,              0.0097426
                     28,                0.88352,                 1.6546,                 1.0472,                  1.202,                0.43581,                0.48218,                0.43799,                0.29137,                0.44018,                0.48427,                0.43948,                 0.2672,                0.99561,                 1.8234,                 1.4659,                 1.3161,              0.0097327,              0.0097327,              0.0097327
                     29,                0.86992,                 1.6355,                 1.0374,                 1.1933,                 0.4527,                0.46292,                0.44611,                0.30737,                0.46298,                0.46416,                0.45331,                0.28153,                0.98927,                 1.7412,                 1.3315,                 1.3287,              0.0097228,              0.0097228,              0.0097228
                     30,                0.86892,                 1.6165,                 1.0169,                  1.182,                 0.4734,                0.41157,                0.43496,                0.29781,                0.47807,                0.41439,                0.43828,                0.26999,                 1.0087,                 1.8129,                 1.3574,                 1.3299,              0.0097129,              0.0097129,              0.0097129
                     31,                0.87495,                 1.6349,                 1.0293,                 1.1951,                0.48905,                0.44589,                0.44962,                0.31222,                 0.5096,                0.43504,                0.45439,                0.27799,                0.99906,                 1.8278,                 1.3001,                 1.3219,               0.009703,               0.009703,               0.009703
                     32,                 0.8535,                 1.5823,                0.99224,                 1.1781,                 0.4663,                0.50793,                0.46162,                0.31439,                0.47089,                0.51335,                0.46587,                0.28258,                 1.0009,                 1.8111,                 1.2881,                 1.3161,              0.0096931,              0.0096931,              0.0096931
                     33,                0.86193,                 1.6017,                0.99422,                 1.1781,                0.44221,                0.49151,                0.44053,                0.29354,                0.43593,                0.47305,                0.43551,                0.25974,                0.98802,                 1.7925,                 1.3156,                  1.317,              0.0096832,              0.0096832,              0.0096832
                     34,                0.84646,                  1.558,                0.97725,                 1.1779,                0.43916,                0.38498,                0.40532,                0.27744,                0.43755,                0.38976,                0.40762,                 0.2429,                 0.9712,                 1.8199,                 1.4259,                 1.3062,              0.0096733,              0.0096733,              0.0096733
